CODIGO;DENOMINACION
PAV.0201.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO TRANSPAR
PAV.0201.ESP;FIJO PA MONT  ESPECIAL + VIDRIO TRANSPAR
PAV.0202.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO MATE 
PAV.0202.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO MATE 
PAV.0202.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO MATE 
PAV.0202.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO MATE 
PAV.0202.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO MATE 
PAV.0202.ESP;FIJO PA MONT  ESPECIAL + VIDRIO MATE 
PAV.0203.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO BRONCE
PAV.0203.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO BRONCE
PAV.0203.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO BRONCE
PAV.0203.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO BRONCE
PAV.0203.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO BRONCE
PAV.0203.ESP;FIJO PA MONT  ESPECIAL + VIDRIO BRONCE
PAV.0204.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO GRIS
PAV.0204.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO GRIS
PAV.0204.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO GRIS
PAV.0204.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO GRIS
PAV.0204.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO GRIS
PAV.0204.ESP;FIJO PA MONT  ESPECIAL + VIDRIO GRIS
PAV.0205.L.BM03;FIJO PA MONT  LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO
PAV.0205.L.NMT;FIJO PA MONT  LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO
PAV.0205.L.C;FIJO PA MONT  LACADO CORTEN + VIDRIO GRIS OSCURO
PAV.0205.C.RB;FIJO PA MONT  CHAPA ROBLE + VIDRIO GRIS OSCURO
PAV.0205.C.NG;FIJO PA MONT  CHAPA NOGAL + VIDRIO GRIS OSCURO
PAV.0205.ESP;FIJO PA MONT  ESPECIAL + VIDRIO GRIS OSCURO
PAV.0301.L.BM03;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACA BLANCO MAT 9003
PAV.0301.L.NMT;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACA NEGRO MATE TEXT
PAV.0301.L.C;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA LACADO CORTEN
PAV.0301.C.RB;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA CHAPA ROBLE
PAV.0301.C.NG;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA CHAPA NOGAL
PAV.0301.ESP;BASTIDOR PARA FIJO PA 3 PARED A MEDIDA ESPECIAL
PAV.0302.L.BM03;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA BLANCO MAT 9003
PAV.0302.L.NMT;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACA NEGRO MATE TEXT
PAV.0302.L.C;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA LACADO CORTEN
PAV.0302.C.RB;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA ROBLE
PAV.0302.C.NG;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA CHAPA NOGAL
PAV.0302.ESP;BASTIDOR PARA FIJO PA (U) 3 PARED A MEDIDA ESPECIAL
PAV.0401.L.BM03;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA BLANCO MAT 9003
PAV.0401.L.NMT;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACA NEGRO MATE TEXT
PAV.0401.L.C;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA LACADO CORTEN
PAV.0401.C.RB;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA CHAPA ROBLE
PAV.0401.C.NG;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA CHAPA NOGAL
PAV.0401.ESP;BASTIDOR PARA FIJO PA 4 PARED A MEDIDA ESPECIAL
PAV.0500.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO ESPECIAL
PAV.0500.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO ESPECIAL
PAV.0500.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO ESPECIAL
PAV.0500.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO ESPECIAL
PAV.0500.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO ESPECIAL
PAV.0500.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO ESPECIAL
PAV.0501.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO TRANSPAR
PAV.0501.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO TRANSPAR
PAV.0501.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO TRANSPAR
PAV.0501.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO TRANSPAR
PAV.0501.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO TRANSPAR
PAV.0501.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO TRANSPAR
PAV.0502.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO MATE 
PAV.0502.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO MATE 
PAV.0502.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO MATE 
PAV.0502.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO MATE 
PAV.0502.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO MATE 
PAV.0502.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO MATE 
PAV.0503.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO BRONCE
PAV.0503.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO BRONCE
PAV.0503.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO BRONCE
PAV.0503.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO BRONCE
PAV.0503.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO BRONCE
PAV.0503.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO BRONCE
PAV.0504.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO GRIS
PAV.0504.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO GRIS
PAV.0504.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO GRIS
PAV.0504.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO GRIS
PAV.0504.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO GRIS
PAV.0504.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO GRIS
PAV.0505.L.BM03;PUERTA PA MONT PIVOTANTE LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO
PAV.0505.L.NMT;PUERTA PA MONT PIVOTANTE LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO
PAV.0505.L.C;PUERTA PA MONT PIVOTANTE LACADO CORTEN + VIDRIO GRIS OSCURO
PAV.0505.C.RB;PUERTA PA MONT PIVOTANTE CHAPA ROBLE + VIDRIO GRIS OSCURO
PAV.0505.C.NG;PUERTA PA MONT PIVOTANTE CHAPA NOGAL + VIDRIO GRIS OSCURO
PAV.0505.ESP;PUERTA PA MONT PIVOTANTE ESPECIAL + VIDRIO GRIS OSCURO
PAV.0600.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO ESPECIAL
PAV.0600.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO ESPECIAL
PAV.0600.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO ESPECIAL
PAV.0600.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO ESPECIAL
PAV.0600.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO ESPECIAL
PAV.0600.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO ESPECIAL
PAV.0601.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO TRANSPAR
PAV.0601.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO TRANSPAR
PAV.0601.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO TRANSPAR
PAV.0601.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO TRANSPAR
PAV.0601.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO TRANSPAR
PAV.0601.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO TRANSPAR
PAV.0602.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO MATE 
PAV.0602.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO MATE 
PAV.0602.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO MATE 
PAV.0602.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO MATE 
PAV.0602.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO MATE 
PAV.0602.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO MATE 
PAV.0603.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO BRONCE
PAV.0603.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO BRONCE
PAV.0603.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO BRONCE
PAV.0603.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO BRONCE
PAV.0603.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO BRONCE
PAV.0603.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO BRONCE
PAV.0604.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO GRIS
PAV.0604.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO GRIS
PAV.0604.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO GRIS
PAV.0604.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO GRIS
PAV.0604.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO GRIS
PAV.0604.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO GRIS
PAV.0605.L.BM03;PUERTA PA MONT PIVOT DOBLE LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO
PAV.0605.L.NMT;PUERTA PA MONT PIVOT DOBLE LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO
PAV.0605.L.C;PUERTA PA MONT PIVOT DOBLE LACADO CORTEN + VIDRIO GRIS OSCURO
PAV.0605.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO GRIS OSCURO
PAV.0605.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO GRIS OSCURO
PAV.0605.ESP;PUERTA PA MONT PIVOT DOBLE ESPECIAL + VIDRIO GRIS OSCURO
PAV.0700.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO ESPECIAL
PAV.0700.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO ESPECIAL
PAV.0700.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO ESPECIAL
PAV.0700.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO ESPECIAL
PAV.0700.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO ESPECIAL
PAV.0700.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO ESPECIAL
PAV.0701.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO TRANSPAR
PAV.0701.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO TRANSPAR
PAV.0701.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO TRANSPAR
PAV.0701.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO TRANSPAR
PAV.0701.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO TRANSPAR
PAV.0701.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO TRANSPAR
PAV.0702.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO MATE 
PAV.0702.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO MATE 
PAV.0702.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO MATE 
PAV.0702.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO MATE 
PAV.0702.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO MATE 
PAV.0702.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO MATE 
PAV.0703.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO BRONCE
PAV.0703.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO BRONCE
PAV.0703.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO BRONCE
PAV.0703.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO BRONCE
PAV.0703.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO BRONCE
PAV.0703.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO BRONCE
PAV.0706.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO GRIS
PAV.0706.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO GRIS
PAV.0706.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO GRIS
PAV.0706.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO GRIS
PAV.0706.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO GRIS
PAV.0706.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO GRIS
PAV.0705.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO
PAV.0705.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO
PAV.0705.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO GRIS OSCURO
PAV.0705.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO GRIS OSCURO
PAV.0705.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO GRIS OSCURO
PAV.0705.ESP;PUERTA PA MONT PLEGAB ESPECIAL + VIDRIO GRIS OSCURO
PAV.MA01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL A LACA BLANCO MAT 9003
PAV.MA01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL A LACA NEGRO MATE TEXT
PAV.MA01.L.C;SET EMBELLEC 13X3 PA MONT MODEL A LACADO CORTEN
PAV.MA01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL A CHAPA ROBLE
PAV.MA01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL A CHAPA NOGAL
PAV.MA01.ESP;SET EMBELLEC 13X3 PA MONT MODEL A ESPECIAL
PAV.MB01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL B LACA BLANCO MAT 9003
PAV.MB01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL B LACA NEGRO MATE TEXT
PAV.MB01.L.C;SET EMBELLEC 13X3 PA MONT MODEL B LACADO CORTEN
PAV.MB01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL B CHAPA ROBLE
PAV.MB01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL B CHAPA NOGAL
PAV.MB01.ESP;SET EMBELLEC 13X3 PA MONT MODEL B ESPECIAL
PAV.MC01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL C LACA BLANCO MAT 9003
PAV.MC01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL C LACA NEGRO MATE TEXT
PAV.MC01.L.C;SET EMBELLEC 13X3 PA MONT MODEL C LACADO CORTEN
PAV.MC01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL C CHAPA ROBLE
PAV.MC01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL C CHAPA NOGAL
PAV.MC01.ESP;SET EMBELLEC 13X3 PA MONT MODEL C ESPECIAL
PAV.MD01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL D LACA BLANCO MAT 9003
PAV.MD01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL D LACA NEGRO MATE TEXT
PAV.MD01.L.C;SET EMBELLEC 13X3 PA MONT MODEL D LACADO CORTEN
PAV.MD01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL D CHAPA ROBLE
PAV.MD01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL D CHAPA NOGAL
PAV.MD01.ESP;SET EMBELLEC 13X3 PA MONT MODEL D ESPECIAL
